backend,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,num_unique,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,tok_x_max_rank,tok_x_sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,sum_x_max_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,sum_rank_sq,max_rank_sq
csgmv,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1.0,32,64,2048,1,18.465295791625977,18.94614839553833,1.2269285368975995,2048.0,2048.0,2048.0,2048.0,32.0,64.0,64.0,64.0,32.0,0.0,0.0,1.0,0.0,65536.0,2048.0,2048.0,131072.0,2048.0,45.254833995939045,45.254833995939045,7.6251071482389,7.6251071482389,4194304.0,4096.0
csgmv,"[8, 8, 16, 16]",1.0,4,16,48,2,17.219072341918945,17.407501163482667,0.7179408448029826,64.0,48.0,64.0,48.0,4.0,16.0,8.0,12.0,4.0,16.0,4.0,2.0,8.0,192.0,48.0,32.0,768.0,48.0,8.0,6.928203230275509,4.174387269895637,3.8918202981106265,2304.0,256.0
csgmv,"[8, 16, 16, 16]",1.0,4,16,56,2,17.19859218597412,17.788389053344726,1.5288755664344003,64.0,56.0,64.0,56.0,4.0,16.0,8.0,14.0,4.0,12.0,3.4641016151377544,2.0,8.0,224.0,56.0,32.0,896.0,56.0,8.0,7.483314773547883,4.174387269895637,4.04305126783455,3136.0,256.0
csgmv,"[8, 8, 8, 16]",1.0,4,16,40,2,17.385472297668457,18.076417560577394,1.666283730639867,64.0,40.0,64.0,40.0,4.0,16.0,8.0,10.0,4.0,12.0,3.4641016151377544,2.0,8.0,160.0,40.0,32.0,640.0,40.0,8.0,6.324555320336759,4.174387269895637,3.713572066704308,1600.0,256.0
csgmv,"[8, 8, 32, 32]",1.0,4,32,80,2,17.267199516296387,18.043326644897462,1.6189206625941415,128.0,80.0,128.0,80.0,4.0,32.0,8.0,20.0,4.0,144.0,12.0,4.0,24.0,320.0,80.0,32.0,2560.0,80.0,11.313708498984761,8.94427190999916,4.859812404361672,4.394449154672439,6400.0,1024.0
csgmv,"[8, 32, 32, 32]",1.0,4,32,104,2,17.355775833129883,18.238766040802002,1.8249524237661958,128.0,104.0,128.0,104.0,4.0,32.0,8.0,26.0,4.0,108.0,10.392304845413264,4.0,24.0,416.0,104.0,32.0,3328.0,104.0,11.313708498984761,10.198039027185569,4.859812404361672,4.653960350157523,10816.0,1024.0
csgmv,"[8, 8, 8, 32]",1.0,4,32,56,2,17.309696197509766,17.803775596618653,1.2644541158672316,128.0,56.0,128.0,56.0,4.0,32.0,8.0,14.0,4.0,108.0,10.392304845413264,4.0,24.0,224.0,56.0,32.0,1792.0,56.0,11.313708498984761,7.483314773547883,4.859812404361672,4.04305126783455,3136.0,1024.0
csgmv,"[8, 8, 64, 64]",1.0,4,64,144,2,17.558527946472168,18.090472507476807,1.3383580710052836,256.0,144.0,256.0,144.0,4.0,64.0,8.0,36.0,4.0,784.0,28.0,8.0,56.0,576.0,144.0,32.0,9216.0,144.0,16.0,12.0,5.54907608489522,4.976733742420574,20736.0,4096.0
csgmv,"[8, 64, 64, 64]",1.0,4,64,200,2,17.565696716308594,18.470380001068115,1.711652777591967,256.0,200.0,256.0,200.0,4.0,64.0,8.0,50.0,4.0,588.0,24.24871130596428,8.0,56.0,800.0,200.0,32.0,12800.0,200.0,16.0,14.142135623730951,5.54907608489522,5.303304908059076,40000.0,4096.0
csgmv,"[8, 8, 8, 64]",1.0,4,64,88,2,17.654272079467773,18.630011520385743,1.7527885520879525,256.0,88.0,256.0,88.0,4.0,64.0,8.0,22.0,4.0,588.0,24.24871130596428,8.0,56.0,352.0,88.0,32.0,5632.0,88.0,16.0,9.38083151964686,5.54907608489522,4.48863636973214,7744.0,4096.0
csgmv,"[16, 16, 32, 32]",1.0,4,32,96,2,17.341952323913574,17.916551761627197,1.4578529097100674,128.0,96.0,128.0,96.0,4.0,32.0,16.0,24.0,4.0,64.0,8.0,2.0,16.0,384.0,96.0,64.0,3072.0,96.0,11.313708498984761,9.797958971132712,4.859812404361672,4.574710978503383,9216.0,1024.0
