backend,mode,tag,predictor,alpha,beta,r2,rmse_ms,mae_ms,max_err_ms,n_points,formula
csgmv,decode,single,bs_x_max_rank,0.0010617759943261822,18.008066418024715,0.3021027107938582,0.9592782553413537,0.599439679069821,5.973470804213427,88,+0.00106178·bs_x_max_rank++18.00807
csgmv,decode,single,tok_x_max_rank,0.0010617759943261822,18.008066418024715,0.3021027107938582,0.9592782553413537,0.599439679069821,5.973470804213427,88,+0.00106178·tok_x_max_rank++18.00807
csgmv,decode,single,sqrt_bs_x_max_rank,0.05461120064580616,17.44131572683308,0.2691425877481406,0.9816692162126551,0.6247380336854319,6.243317912240208,88,+0.05461120·sqrt_bs_x_max_rank++17.44132
csgmv,decode,single,bs_x_sum_rank,3.8717354203412005e-05,18.2907555397108,0.24758075524124132,0.9960446151584237,0.5722097941001221,6.755194939187135,88,+0.00003872·bs_x_sum_rank++18.29076
csgmv,decode,single,bs,0.05253749689660053,17.897610099136596,0.24073481717120965,1.0005656448203128,0.6125430839173969,6.577244458790354,88,+0.05253750·bs++17.89761
csgmv,decode,single,total_tokens,0.05253749689660053,17.897610099136596,0.24073481717120965,1.0005656448203128,0.6125430839173969,6.577244458790354,88,+0.05253750·total_tokens++17.89761
csgmv,decode,single,sqrt_sum_rank,0.06022429134334606,17.53421445885257,0.2322838445338489,1.0061186149866883,0.6022505101096948,6.81913068322114,88,+0.06022429·sqrt_sum_rank++17.53421
csgmv,decode,single,sum_rank,0.0012446033902365492,18.125601026979158,0.22181308989692067,1.0129565220008903,0.5858238667736405,6.9152887939870595,88,+0.00124460·sum_rank++18.12560
csgmv,decode,single,tok_x_sum_rank,0.0012446033902365492,18.125601026979158,0.22181308989692067,1.0129565220008903,0.5858238667736405,6.9152887939870595,88,+0.00124460·tok_x_sum_rank++18.12560
csgmv,decode,single,bs_x_mean_rank,0.0012446033902365492,18.125601026979158,0.22181308989692067,1.0129565220008903,0.5858238667736405,6.9152887939870595,88,+0.00124460·bs_x_mean_rank++18.12560
csgmv,decode,single,tok_x_mean_rank,0.0012446033902365492,18.125601026979158,0.22181308989692067,1.0129565220008903,0.5858238667736405,6.9152887939870595,88,+0.00124460·tok_x_mean_rank++18.12560
csgmv,decode,single,log1p_bs_x_max_rank,0.530326417452375,15.492177369058533,0.206916284475632,1.0226060567769562,0.6459016752501551,6.620081332943599,88,+0.53032642·log1p_bs_x_max_rank++15.49218
csgmv,decode,single,log1p_sum_rank,0.5407413952885042,15.61483077574341,0.20457609180797193,1.0241136734332112,0.6327349862339596,6.864692729380597,88,+0.54074140·log1p_sum_rank++15.61483
csgmv,decode,single,sum_x_max_rank,1.7471670313814125e-05,18.280075667918734,0.1912349027531551,1.032666395753165,0.6006658377875674,6.874083328224074,88,+0.00001747·sum_x_max_rank++18.28008
csgmv,decode,single,sum_rank_sq,6.10628763956542e-07,18.44672796607883,0.15825708348997608,1.053509799295913,0.5858956234779904,7.219103950774802,88,+0.00000061·sum_rank_sq++18.44673
csgmv,decode,single,bs_x_min_rank,0.0013016388573987802,18.34487983355756,0.12289222001986026,1.07541310877016,0.6368802975737549,7.144735530072431,88,+0.00130164·bs_x_min_rank++18.34488
csgmv,decode,single,max_rank_sq,0.00013576853557879402,18.3819459959017,0.041480423300012594,1.1242149026936215,0.7027481678534596,7.218000540985727,88,+0.00013577·max_rank_sq++18.38195
csgmv,decode,single,max_rank,0.011098619233384234,18.21347675247435,0.039888056166287586,1.1251483317196638,0.7051115229099664,7.2322660752072245,88,+0.01109862·max_rank++18.21348
csgmv,decode,single,mean_rank,0.011478250885355304,18.341325026024943,0.025070912103255197,1.1337971434598875,0.6950544715014844,7.493338407803272,88,+0.01147825·mean_rank++18.34133
csgmv,decode,single,min_rank,0.011593288980888695,18.483316963101,0.018169381284474758,1.1378031458598228,0.6942429681904144,7.487244871822945,88,+0.01159329·min_rank++18.48332
csgmv,decode,single,max_minus_min,0.007143756789805491,18.50642920040503,0.014478487383976049,1.1399397523761308,0.7152097161650385,7.3067249323024726,88,+0.00714376·max_minus_min++18.50643
csgmv,decode,single,var_rank,0.0005321803635794536,18.574398476564447,0.01212531354765833,1.1412998835389534,0.7091324870158008,7.351754064987393,88,+0.00053218·var_rank++18.57440
csgmv,decode,single,std_rank,0.013098768338595341,18.536019913639205,0.010222894785698815,1.1423982951210923,0.7134043693243565,7.347781757630699,88,+0.01309877·std_rank++18.53602
csgmv,decode,single,rank_ratio,0.008928474762279192,18.65726376925108,0.00028930108027093015,1.1481166480023297,0.7065142727072272,7.463076790317967,88,+0.00892847·rank_ratio++18.65726
csgmv,decode,pair,bs_x_max_rank+tok_x_max_rank,0.0005308879971819777,18.008066418024708,0.30210271079385853,0.9592782553413537,0.5994396790698179,5.9734708042134415,88,+0.000531·bs_x_max_rank++0.000531·tok_x_max_rank++18.008066
csgmv,decode,pair,bs_x_max_rank+sqrt_bs_x_max_rank,0.0018444990742512678,18.50281171498439,0.3097575735011273,0.9540028441861469,0.5893619077142872,5.850421206123354,88,+0.001844·bs_x_max_rank+-0.043635·sqrt_bs_x_max_rank++18.502812
csgmv,decode,pair,bs_x_max_rank+bs_x_sum_rank,0.0010842830434205904,18.003872270517903,0.3021311372742377,0.9592587186684023,0.600431146308297,5.9601566172534035,88,+0.001084·bs_x_max_rank+-0.000001·bs_x_sum_rank++18.003872
csgmv,decode,pair,bs_x_max_rank+bs,0.0008135948741311859,17.8976100991366,0.3136134627931888,0.9513344475940055,0.5932733971323679,6.018674596114103,88,+0.000814·bs_x_max_rank++0.017923·bs++17.897610
csgmv,decode,pair,tok_x_max_rank+sqrt_bs_x_max_rank,0.0018444990742512678,18.50281171498439,0.3097575735011273,0.9540028441861469,0.5893619077142872,5.850421206123354,88,+0.001844·tok_x_max_rank+-0.043635·sqrt_bs_x_max_rank++18.502812
csgmv,decode,pair,tok_x_max_rank+bs_x_sum_rank,0.0010842830434205904,18.003872270517903,0.3021311372742377,0.9592587186684023,0.600431146308297,5.9601566172534035,88,+0.001084·tok_x_max_rank+-0.000001·bs_x_sum_rank++18.003872
csgmv,decode,pair,tok_x_max_rank+bs,0.0008135948741311859,17.8976100991366,0.3136134627931888,0.9513344475940055,0.5932733971323679,6.018674596114103,88,+0.000814·tok_x_max_rank++0.017923·bs++17.897610
csgmv,decode,pair,sqrt_bs_x_max_rank+bs_x_sum_rank,0.03681704633792533,17.691110438061123,0.2790320140543626,0.9750049817333521,0.5978898441010796,6.361242187609609,88,+0.036817·sqrt_bs_x_max_rank++0.000015·bs_x_sum_rank++17.691110
csgmv,decode,pair,sqrt_bs_x_max_rank+bs,0.03665215295604191,17.50139883946663,0.28728453976389345,0.9694087473442993,0.6170001502612563,6.251163941984128,88,+0.036652·sqrt_bs_x_max_rank++0.023275·bs++17.501399
csgmv,decode,pair,bs_x_sum_rank+bs,2.2671079062250023e-05,18.044282123677863,0.2702616792470022,0.9809173605736974,0.5784564732738263,6.586770254790196,88,+0.000023·bs_x_sum_rank++0.027343·bs++18.044282
csgmv,decode,triple,bs_x_max_rank+tok_x_max_rank+sqrt_bs_x_max_rank,0.0009222495368400661,18.502811714984404,0.3097575735011273,0.9540028441861469,0.5893619077152858,5.850421206116863,88,+0.000922·bs_x_max_rank++0.000922·tok_x_max_rank+-0.043635·sqrt_bs_x_max_rank++18.502812
csgmv,decode,triple,bs_x_max_rank+tok_x_max_rank+bs_x_sum_rank,0.0005421415217601366,18.003872270517903,0.3021311372742379,0.9592587186684021,0.6004311463164743,5.9601566171834826,88,+0.000542·bs_x_max_rank++0.000542·tok_x_max_rank+-0.000001·bs_x_sum_rank++18.003872
csgmv,decode,triple,bs_x_max_rank+tok_x_max_rank+bs,0.00040679743707904876,17.897610099136596,0.3136134627931888,0.9513344475940055,0.5932733971326442,6.018674596111634,88,+0.000407·bs_x_max_rank++0.000407·tok_x_max_rank++0.017923·bs++17.897610
csgmv,decode,triple,bs_x_max_rank+sqrt_bs_x_max_rank+bs_x_sum_rank,0.0020915451893226424,18.536389076632158,0.31089807532546365,0.9532143590375294,0.595952491237868,5.746531447054998,88,+0.002092·bs_x_max_rank+-0.049058·sqrt_bs_x_max_rank+-0.000007·bs_x_sum_rank++18.536389
csgmv,decode,triple,bs_x_max_rank+sqrt_bs_x_max_rank+bs,0.0018411100767394856,18.560696774141157,0.32775010606015365,0.9414867569968961,0.5765955364063321,5.858956778662105,88,+0.001841·bs_x_max_rank+-0.061340·sqrt_bs_x_max_rank++0.023179·bs++18.560697
csgmv,decode,triple,bs_x_max_rank+bs_x_sum_rank+bs,0.001008114561431561,17.825658864598488,0.3165531168786583,0.9492950756190487,0.6058793196129341,5.8804550270792575,88,+0.001008·bs_x_max_rank+-0.000011·bs_x_sum_rank++0.022006·bs++17.825659
csgmv,decode,triple,tok_x_max_rank+sqrt_bs_x_max_rank+bs_x_sum_rank,0.0020915451893226424,18.536389076632158,0.31089807532546365,0.9532143590375294,0.595952491237868,5.746531447054998,88,+0.002092·tok_x_max_rank+-0.049058·sqrt_bs_x_max_rank+-0.000007·bs_x_sum_rank++18.536389
csgmv,decode,triple,tok_x_max_rank+sqrt_bs_x_max_rank+bs,0.0018411100767394856,18.560696774141157,0.32775010606015365,0.9414867569968961,0.5765955364063321,5.858956778662105,88,+0.001841·tok_x_max_rank+-0.061340·sqrt_bs_x_max_rank++0.023179·bs++18.560697
csgmv,decode,triple,tok_x_max_rank+bs_x_sum_rank+bs,0.001008114561431561,17.825658864598488,0.3165531168786583,0.9492950756190487,0.6058793196129341,5.8804550270792575,88,+0.001008·tok_x_max_rank+-0.000011·bs_x_sum_rank++0.022006·bs++17.825659
csgmv,decode,triple,sqrt_bs_x_max_rank+bs_x_sum_rank+bs,0.03019455534523257,17.623197765146138,0.289549757173191,0.9678669895939981,0.601587310712139,6.311991463213705,88,+0.030195·sqrt_bs_x_max_rank++0.000008·bs_x_sum_rank++0.019500·bs++17.623198
