backend,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,num_unique,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,tok_x_max_rank,tok_x_sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,sum_x_max_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,sum_rank_sq,max_rank_sq
triton,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1.0,32,64,2048,1,23.928879737854004,23.953154964447023,0.16208278227237988,2048.0,2048.0,2048.0,2048.0,32.0,64.0,64.0,64.0,32.0,0.0,0.0,1.0,0.0,65536.0,2048.0,2048.0,131072.0,2048.0,45.254833995939045,45.254833995939045,7.6251071482389,7.6251071482389,4194304.0,4096.0
triton,"[8, 8, 16, 16]",1.0,4,16,48,2,17.37932777404785,18.607262706756593,2.142066034710587,64.0,48.0,64.0,48.0,4.0,16.0,8.0,12.0,4.0,16.0,4.0,2.0,8.0,192.0,48.0,32.0,768.0,48.0,8.0,6.928203230275509,4.174387269895637,3.8918202981106265,2304.0,256.0
triton,"[8, 16, 16, 16]",1.0,4,16,56,2,17.404623985290527,18.31840965270996,2.0185850731881585,64.0,56.0,64.0,56.0,4.0,16.0,8.0,14.0,4.0,12.0,3.4641016151377544,2.0,8.0,224.0,56.0,32.0,896.0,56.0,8.0,7.483314773547883,4.174387269895637,4.04305126783455,3136.0,256.0
triton,"[8, 8, 8, 16]",1.0,4,16,40,2,17.391104698181152,18.16576005935669,1.8500970134679382,64.0,40.0,64.0,40.0,4.0,16.0,8.0,10.0,4.0,12.0,3.4641016151377544,2.0,8.0,160.0,40.0,32.0,640.0,40.0,8.0,6.324555320336759,4.174387269895637,3.713572066704308,1600.0,256.0
triton,"[8, 8, 32, 32]",1.0,4,32,80,2,17.494528770446777,17.734587783813478,0.9414062053344376,128.0,80.0,128.0,80.0,4.0,32.0,8.0,20.0,4.0,144.0,12.0,4.0,24.0,320.0,80.0,32.0,2560.0,80.0,11.313708498984761,8.94427190999916,4.859812404361672,4.394449154672439,6400.0,1024.0
triton,"[8, 32, 32, 32]",1.0,4,32,104,2,17.535999298095703,17.97652965545654,1.3545369551407587,128.0,104.0,128.0,104.0,4.0,32.0,8.0,26.0,4.0,108.0,10.392304845413264,4.0,24.0,416.0,104.0,32.0,3328.0,104.0,11.313708498984761,10.198039027185569,4.859812404361672,4.653960350157523,10816.0,1024.0
triton,"[8, 8, 8, 32]",1.0,4,32,56,2,17.473535537719727,17.823305625915527,1.1063917384648867,128.0,56.0,128.0,56.0,4.0,32.0,8.0,14.0,4.0,108.0,10.392304845413264,4.0,24.0,224.0,56.0,32.0,1792.0,56.0,11.313708498984761,7.483314773547883,4.859812404361672,4.04305126783455,3136.0,1024.0
triton,"[8, 8, 64, 64]",1.0,4,64,144,2,17.984000205993652,18.30217565536499,1.0864540794083022,256.0,144.0,256.0,144.0,4.0,64.0,8.0,36.0,4.0,784.0,28.0,8.0,56.0,576.0,144.0,32.0,9216.0,144.0,16.0,12.0,5.54907608489522,4.976733742420574,20736.0,4096.0
triton,"[8, 64, 64, 64]",1.0,4,64,200,2,18.03212833404541,19.016846408843993,1.8439819266207111,256.0,200.0,256.0,200.0,4.0,64.0,8.0,50.0,4.0,588.0,24.24871130596428,8.0,56.0,800.0,200.0,32.0,12800.0,200.0,16.0,14.142135623730951,5.54907608489522,5.303304908059076,40000.0,4096.0
triton,"[8, 8, 8, 64]",1.0,4,64,88,2,17.938944816589355,18.814690246582032,1.8267017635055607,256.0,88.0,256.0,88.0,4.0,64.0,8.0,22.0,4.0,588.0,24.24871130596428,8.0,56.0,352.0,88.0,32.0,5632.0,88.0,16.0,9.38083151964686,5.54907608489522,4.48863636973214,7744.0,4096.0
triton,"[16, 16, 32, 32]",1.0,4,32,96,2,17.53451156616211,18.378325424194337,1.880823991817093,128.0,96.0,128.0,96.0,4.0,32.0,16.0,24.0,4.0,64.0,8.0,2.0,16.0,384.0,96.0,64.0,3072.0,96.0,11.313708498984761,9.797958971132712,4.859812404361672,4.574710978503383,9216.0,1024.0
triton,"[16, 32, 32, 32]",1.0,4,32,112,2,17.538559913635254,17.569663066864013,0.21023822068818404,128.0,112.0,128.0,112.0,4.0,32.0,16.0,28.0,4.0,48.0,6.928203230275509,2.0,16.0,448.0,112.0,64.0,3584.0,112.0,11.313708498984761,10.583005244258363,4.859812404361672,4.727387818712341,12544.0,1024.0
triton,"[16, 16, 16, 32]",1.0,4,32,80,2,17.41823959350586,17.555104713439942,0.6832622596842519,128.0,80.0,128.0,80.0,4.0,32.0,16.0,20.0,4.0,48.0,6.928203230275509,2.0,16.0,320.0,80.0,64.0,2560.0,80.0,11.313708498984761,8.94427190999916,4.859812404361672,4.394449154672439,6400.0,1024.0
triton,"[16, 16, 64, 64]",1.0,4,64,160,2,18.018815994262695,18.60412010192871,1.5549126797989508,256.0,160.0,256.0,160.0,4.0,64.0,16.0,40.0,4.0,576.0,24.0,4.0,48.0,640.0,160.0,64.0,10240.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,4096.0
triton,"[16, 64, 64, 64]",1.0,4,64,208,2,18.05414390563965,18.07464542388916,0.2034298426502957,256.0,208.0,256.0,208.0,4.0,64.0,16.0,52.0,4.0,432.0,20.784609690826528,4.0,48.0,832.0,208.0,64.0,13312.0,208.0,16.0,14.422205101855956,5.54907608489522,5.342334251964811,43264.0,4096.0
triton,"[16, 16, 16, 64]",1.0,4,64,112,2,17.90719985961914,18.912644424438476,1.8713294645550334,256.0,112.0,256.0,112.0,4.0,64.0,16.0,28.0,4.0,432.0,20.784609690826528,4.0,48.0,448.0,112.0,64.0,7168.0,112.0,16.0,10.583005244258363,5.54907608489522,4.727387818712341,12544.0,4096.0
triton,"[32, 32, 64, 64]",1.0,4,64,192,2,18.01779270172119,19.087827224731445,1.8943133364101261,256.0,192.0,256.0,192.0,4.0,64.0,32.0,48.0,4.0,256.0,16.0,2.0,32.0,768.0,192.0,128.0,12288.0,192.0,16.0,13.856406460551018,5.54907608489522,5.262690188904886,36864.0,4096.0
triton,"[32, 64, 64, 64]",1.0,4,64,224,2,18.071711540222168,18.540213050842286,1.4180971128990498,256.0,224.0,256.0,224.0,4.0,64.0,32.0,56.0,4.0,192.0,13.856406460551018,2.0,32.0,896.0,224.0,128.0,14336.0,224.0,16.0,14.966629547095765,5.54907608489522,5.41610040220442,50176.0,4096.0
triton,"[32, 32, 32, 64]",1.0,4,64,160,2,17.977344512939453,18.76327304840088,1.8604563420874385,256.0,160.0,256.0,160.0,4.0,64.0,32.0,40.0,4.0,192.0,13.856406460551018,2.0,32.0,640.0,160.0,128.0,10240.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,4096.0
triton,"[8, 8, 8, 8, 16, 16, 16, 16]",1.0,8,16,96,2,17.369728088378906,18.182944984436034,1.8455320178135282,128.0,96.0,128.0,96.0,8.0,16.0,8.0,12.0,8.0,16.0,4.0,2.0,8.0,768.0,96.0,64.0,1536.0,96.0,11.313708498984761,9.797958971132712,4.859812404361672,4.574710978503383,9216.0,256.0
triton,"[8, 8, 16, 16, 16, 16, 16, 16]",1.0,8,16,112,2,17.399808883666992,17.79425313949585,1.2311793968210065,128.0,112.0,128.0,112.0,8.0,16.0,8.0,14.0,8.0,12.0,3.4641016151377544,2.0,8.0,896.0,112.0,64.0,1792.0,112.0,11.313708498984761,10.583005244258363,4.859812404361672,4.727387818712341,12544.0,256.0
triton,"[8, 8, 8, 8, 8, 8, 16, 16]",1.0,8,16,80,2,17.437695503234863,18.20270179748535,1.733846196485126,128.0,80.0,128.0,80.0,8.0,16.0,8.0,10.0,8.0,12.0,3.4641016151377544,2.0,8.0,640.0,80.0,64.0,1280.0,80.0,11.313708498984761,8.94427190999916,4.859812404361672,4.394449154672439,6400.0,256.0
triton,"[8, 8, 8, 8, 32, 32, 32, 32]",1.0,8,32,160,2,17.59436798095703,17.837212142944335,0.9798518555838396,256.0,160.0,256.0,160.0,8.0,32.0,8.0,20.0,8.0,144.0,12.0,4.0,24.0,1280.0,160.0,64.0,5120.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,1024.0
triton,"[8, 8, 32, 32, 32, 32, 32, 32]",1.0,8,32,208,2,17.685664176940918,18.53149045944214,1.750636350603881,256.0,208.0,256.0,208.0,8.0,32.0,8.0,26.0,8.0,108.0,10.392304845413264,4.0,24.0,1664.0,208.0,64.0,6656.0,208.0,16.0,14.422205101855956,5.54907608489522,5.342334251964811,43264.0,1024.0
triton,"[8, 8, 8, 8, 8, 8, 32, 32]",1.0,8,32,112,2,17.54539203643799,17.79401538848877,1.0099073643703225,256.0,112.0,256.0,112.0,8.0,32.0,8.0,14.0,8.0,108.0,10.392304845413264,4.0,24.0,896.0,112.0,64.0,3584.0,112.0,16.0,10.583005244258363,5.54907608489522,4.727387818712341,12544.0,1024.0
triton,"[8, 8, 8, 8, 64, 64, 64, 64]",1.0,8,64,288,2,18.344575881958008,19.084679012298583,1.567422003729779,512.0,288.0,512.0,288.0,8.0,64.0,8.0,36.0,8.0,784.0,28.0,8.0,56.0,2304.0,288.0,64.0,18432.0,288.0,22.627416997969522,16.97056274847714,6.240275845170769,5.666426688112432,82944.0,4096.0
